chainID,clientID,teamName,blocksUpdated,timeUpdated
sentinel-goz,dccknunrnb,sentinel,65900,102h30m40s
irishub-goz,orppdjuftdb,irisnet,59600,92h42m40s
vgng-1,xxwdolcuyb,vgng,59100,91h56m0s
snakey,relrighpuc,validatorich,58500,91h0m0s
cat,kfrjxacpxtcadap,bit_cat,53600,83h22m40s
stardust-1111,valicosmos,stratus,52000,80h53m20s
nodeasy,lylsbrtphklsbdt,nodeasy.com,51100,79h29m20s
bitsong-goz-1,ukbfvvokos,bitsong,48000,74h40m0s
persistence,tsymwmhyjf,persistence,46200,71h52m0s
setanchain,sjoavexrow,astronomia,41400,64h24m0s
brankochain,tacjuwmtht,teddyrabbit,31500,49h0m0s
mintonium,kpdvuvnvxp,mintonium,28200,43h52m0s
stakesstonechain,tdnpnqqoeceac,stakesstone,27500,42h46m40s
cyberdevs,wbboxcocvd,cyber~congress,27200,42h18m40s
stakebird-1,wmuqvtwlnu,stakebird,25700,39h58m40s
b-harvest,wxhozshlijq,b-harvest,21500,33h26m40s
avnet,osdjicowqb,alpha_virtual,16300,25h21m20s
aynchain,zweeaylhsr,aynelis,13100,20h22m40s
ozone,zdalwzxvpu,ozone,12200,18h58m40s
stakin,tlsznyywhk,stakin,11700,18h12m0s
vipnamai,siasqzxpth,vipnamai,10800,16h48m0s
blogchain,clhubcdhwjum,bigbeautifulsilverplate,9900,15h24m0s
gemstone,rphfjhvazm,huglester,9900,15h24m0s
it-wasnt-us,vtlmagodyi,certus_one,9800,15h14m40s
universe,srcgozclientb,mr.k,9400,14h37m20s
okchain,vrgusbmoje,okchain/okex,9400,14h37m20s
hashquarkchain,yrvywkdcdc,hashquark,9400,14h37m20s
gunchain,wcjbyxkqit,gunray,8900,13h50m40s
staking-defense,xanmjfdook,staking-defense,8600,13h22m40s
retz80chain,zofnreorrh,retz80,7600,11h49m20s
nuube-goz,wsofuecmzb,staked.sh,6600,10h16m0s
burek,qupijtdnum,bureksteak,6100,9h29m20s
nibiru-ibc,cyyyyyyyyz,nibiru,6000,9h20m0s
protofire.io,mlfgsrnxxf,protofire,5900,9h10m40s
melea-1111,oiujhytgfr,melea,5800,9h1m20s
petomhub,wcotufudhl,cypher_core,5800,9h1m20s
muzamint,sbtutlggyr,muzamint,5700,8h52m0s
everstakechain,gozeverstk,everstake,5500,8h33m20s
thetechtrap-goz,wacdmnegbs,thetechtrap,5500,8h33m20s
plex,ztdtxhasck,bitple,5300,8h14m40s
dawnsworld,uqgwccphiv,dawns.world,4900,7h37m20s
snzpoolhub,zcntvlsfxa,snzpool,4800,7h28m0s
cosmoon-testnet,xvspalontm,cosmoon,4600,7h9m20s
p2p-org-1,whatyoudoingguys,p2p.org_-_p2p_validator,4300,6h41m20s
dos-ibc,xjpwjsnhgn,cdos,3800,5h54m40s
westaking,wtqekhxkvw,westaking,3800,5h54m40s
dunhillchain,vutlbiyvkt,dunhill,3500,5h26m40s
nochainnogain-1000,tkwyebjsqzb,blockscape,3200,4h58m40s
jtbchain,vqpcrhnhbp,jokerthebond,3100,4h49m20s
staked-ibc,wuphkgmnyw,staked,2700,4h12m0s
pupu,yubzmnehya,pupu,2300,3h34m40s
szchain,whnolhjxab,stakezone,2200,3h25m20s
konstellation,sxrmvkzxsi,konstellation,2100,3h16m0s
chainapsis-1a,ukxumbzaps,chainapsis,2100,3h16m0s
source-xgoz,yvwivalcvp,source,2000,3h6m40s
interstation,vxaowhoorg,interstation,1900,2h57m20s
coco-post-chain,sbkubvpjwk,cosmic_compass_(coco),1900,2h57m20s
morpheus-goz-1a,vvebamuozp,desmos,1900,2h57m20s
compass,wffjfqdrkr,compass,1800,2h48m0s
anon-chain,vrmjfwtrak,anonstake,1600,2h29m20s
blockngine-ibc,xeucnrqwvr,blockngine,1400,2h10m40s
hongo-3,yarfauevee,kokuwa,1300,2h1m20s
atomicbombers,xlbonhemsn,atomic_bombers,1200,1h52m0s
isillienchain,ozxnwyycna,isillien,1200,1h52m0s
genesis-lab,xxxamekisw,genesis_lab,1100,1h42m40s
dropschain,yvrcwoohlb,drops_power,1100,1h42m40s
supernovachain,zoognzkqvd,supernova,1100,1h42m40s
responsible,sxelwsbtjesasas,responsiblechain,1100,1h42m40s
hada,svtwqtrlcf,strong,1100,1h42m40s
fetchbeacon,gdsdohqmad,fetch.ai,1000,1h33m20s
armyids,zvqtheejwb,armyids,1000,1h33m20s
figment,zfyvpqgbky,figment_networks,1000,1h33m20s
kira-1,zqsnkcuxtb,kira_core,1000,1h33m20s
fedzone-1,okxappehka,chorus_one,1000,1h33m20s
taidihub,zmfxlldgip,taidi,1000,1h33m20s
ublochain,ydtrbzsing,fanprime,1000,1h33m20s
simplystaking,zgfmcemmyc,simply_staking,1000,1h33m20s
newroadchain,lwggwulrgz,newroad_network,1000,1h33m20s
vostok-1,uduxoctxko,yura_forgive_us,1000,1h33m20s
wetez,togmpleofi,wetez,1000,1h33m20s
grbx-route,satyitwgcx,gruberx_crew,1000,1h33m20s
capychain,wkfdawttgg,capybara,1000,1h33m20s
starcluster-1337,zykwirnwbo,starcluster,1000,1h33m20s
rvc-1,xoccjclntm,rvc_group,1000,1h33m20s
audit.one,vuihorinbl,audit.one,1000,1h33m20s
meeseeks,lbpfthdeeg,meeseeks,900,1h24m0s
aneka,weqztlycyj,aneka,900,1h24m0s
agoric-goz-1.0.0,ibczeroclienth,agoric_goz,900,1h24m0s
outpost,xkfnqytudc,kysen_outpost,900,1h24m0s
chainlayer,figcjnragnr,chainlayer,900,1h24m0s
joon-chain-goz,vdgniuljzt,joonzone,800,1h14m40s
node123,xczjjjmmsr,node123,500,46m40s
defending-network,xrrltnodbz,defending.network,400,37m20s
stakingfund,yeqyzjskew,staking_fund,300,28m0s
kugs-030,eycomicvc,mia_//_lableet,300,28m0s
aib-goz-1,cvocmmasdl,all_in_bits_inc,0,0s
achain,gozclientids,node_a-team,0,0s
regengoz,vdrfpmxhtf,regen,0,0s
stakematic,yethukikme,stakematic,0,0s
stake-capital,xnkxpzqrna,stake_capital,0,0s
freeflix-media-hub,uwxmgongxn,freeflix_media,0,0s
dcz,ythtgjxpay,datachain,0,0s
jellyfish,zbtfdqgoiv,stakefish,0,0s
